date,ticker,Open,High,Low,Close,Close_filled,Volume,Adj_Close,avg_sentiment_vader,tweet_count,weighted_score_vader
2019-12-31,AAPL,72.48249816894531,73.41999816894531,72.37999725341797,73.4124984741211,73.4124984741211,100805600.0,71.52082061767578,0.0,0,0.0
2020-01-02,AAPL,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,75.0875015258789,135480400.0,73.15264892578125,0.3761250004172325,8,3.00900000333786
2020-01-03,AAPL,74.2874984741211,75.1449966430664,74.125,74.35749816894531,74.35749816894531,146322800.0,72.44145965576172,0.1038333351413409,6,0.6230000108480453
2020-01-06,AAPL,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,74.94999694824219,118387200.0,73.0186767578125,0.7793000042438507,2,1.5586000084877014
2020-01-07,AAPL,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,74.59750366210938,108872000.0,72.67527770996094,0.06936666866143544,3,0.20810000598430634
2020-01-08,AAPL,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,75.79750061035156,132079200.0,73.84435272216797,-0.06256667027870814,6,-0.37540002167224884
2020-01-09,AAPL,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,77.40750122070312,170108400.0,75.41287994384766,0.15309999883174896,4,0.6123999953269958
2020-01-10,AAPL,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,77.5824966430664,140644800.0,75.58334350585938,0.42682499811053276,4,1.707299992442131
2020-01-13,AAPL,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,79.23999786376953,121532000.0,77.1981430053711,0.02695000171661377,4,0.10780000686645508
2020-01-14,AAPL,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,78.16999816894531,161954400.0,76.15571594238281,0.2729500010609627,4,1.0918000042438507
2020-01-15,AAPL,77.9625015258789,78.875,77.38749694824219,77.83499908447266,77.83499908447266,121923600.0,75.82936096191406,0.2705285708819117,7,1.8936999961733818
2020-01-16,AAPL,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,78.80999755859375,108829200.0,76.77922058105469,-0.11315000057220459,2,-0.22630000114440918
2020-01-17,AAPL,79.06749725341797,79.68499755859375,78.75,79.68250274658203,79.68250274658203,137816400.0,77.62923431396484,0.04699998597304026,3,0.1409999579191208
2020-01-21,AAPL,79.29750061035156,79.75499725341797,79.0,79.14250183105469,79.14250183105469,110843200.0,77.10316467285156,0.0,1,0.0
2020-01-22,AAPL,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,79.42500305175781,101832400.0,77.37837982177734,0.0,0,0.0
2020-01-23,AAPL,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,79.80750274658203,104472000.0,77.75102996826172,0.15890000263849893,3,0.4767000079154968
2020-01-24,AAPL,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,79.57749938964844,146537600.0,77.5269546508789,0.0,1,0.0
2020-01-27,AAPL,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,77.23750305175781,161940000.0,75.24725341796875,0.06428000330924988,5,0.3214000165462494
2020-01-28,AAPL,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,79.42250061035156,162234000.0,77.37594604492188,0.2511230753018306,13,3.2645999789237976
2020-01-29,AAPL,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,81.08499908447266,216229200.0,78.99560546875,0.2241142817905971,7,1.5687999725341797
2020-01-30,AAPL,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,80.96749877929688,126743200.0,78.8811264038086,-0.33524999022483826,2,-0.6704999804496765
2020-01-31,AAPL,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,77.37750244140625,199588400.0,75.38365936279297,0.20571666459242502,6,1.2342999875545502
2020-02-03,AAPL,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,77.16500091552734,173788400.0,75.17660522460938,0.11373333136240642,3,0.34119999408721924
2020-02-04,AAPL,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,79.7125015258789,136616400.0,77.65847778320312,0.0,1,0.0
2020-02-05,AAPL,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,80.36250305175781,118826800.0,78.2917251586914,0.35795000195503235,2,0.7159000039100647
2020-02-06,AAPL,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,81.30249786376953,105425600.0,79.20750427246094,-0.07245001196861267,2,-0.14490002393722534
2020-02-07,AAPL,80.59249877929688,80.8499984741211,79.5,80.00749969482422,80.00749969482422,117684000.0,78.13086700439453,0.03346666693687439,3,0.10040000081062317
2020-02-10,AAPL,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,80.38749694824219,109348800.0,78.5019302368164,-0.2985999981562297,3,-0.895799994468689
2020-02-11,AAPL,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,79.90249633789062,94323200.0,78.0283203125,-0.3181999921798706,1,-0.3181999921798706
2020-02-12,AAPL,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,81.80000305175781,113730400.0,79.88131713867188,0.3461666504542033,3,1.0384999513626099
2020-02-13,AAPL,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,81.21749877929688,94747600.0,79.31246948242188,0.0,0,0.0
2020-02-14,AAPL,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,81.23750305175781,80113600.0,79.33201599121094,0.4399999976158142,2,0.8799999952316284
2020-02-18,AAPL,78.83999633789062,79.9375,78.65249633789062,79.75,79.75,152531200.0,77.87938690185547,-0.1770999985081809,7,-1.2396999895572662
2020-02-19,AAPL,80.0,81.14250183105469,80.0,80.90499877929688,80.90499877929688,93984000.0,79.00730895996094,0.48580000797907513,3,1.4574000239372253
2020-02-20,AAPL,80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,80.07499694824219,100566000.0,78.19677734375,0.3260333389043808,3,0.9781000167131424
2020-02-21,AAPL,79.65499877929688,80.11250305175781,77.625,78.26249694824219,78.26249694824219,129554000.0,76.42679595947266,0.01630000344344548,7,0.11410002410411835
2020-02-24,AAPL,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,74.54499816894531,222195200.0,72.79647827148438,-0.1122999998430411,6,-0.6737999990582466
2020-02-25,AAPL,75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,72.0199966430664,230673600.0,70.33070373535156,-0.021799996495246887,6,-0.13079997897148132
2020-02-26,AAPL,71.63249969482422,74.47000122070312,71.625,73.1624984741211,73.1624984741211,198054800.0,71.44641876220703,0.04358333349227905,6,0.2615000009536743
2020-02-27,AAPL,70.2750015258789,71.5,68.23999786376953,68.37999725341797,68.37999725341797,320605600.0,66.77608489990234,-0.25839999318122864,1,-0.25839999318122864
2020-02-28,AAPL,64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,68.33999633789062,426510000.0,66.73702239990234,0.13021428670201982,7,0.9115000069141387
