ticker,date,avg_sentiment_vader,tweet_count,weighted_score_vader
AAPL,2020-01-03,0.1038333351413409,6,0.6230000108480453
AAPL,2020-01-09,0.15309999883174896,4,0.6123999953269958
AAPL,2020-01-17,0.04699998597304026,3,0.1409999579191208
CCL,2020-03-05,0.42149999737739563,1,0.42149999737739563
DIS,2020-03-06,0.1975199993699789,10,1.975199993699789
BAC,2020-03-10,0.29600000381469727,1,0.29600000381469727
BABA,2020-03-18,0.0,1,0.0
CCL,2020-03-27,0.3460249975323677,4,1.3840999901294708
CCL,2020-05-01,0.25919999678929645,3,0.7775999903678894
AMZN,2020-09-23,-0.10270000249147415,1,-0.10270000249147415
AAPL,2020-10-29,0.1766559985280037,25,4.416399963200092
CCL,2020-11-25,0.5267000198364258,1,0.5267000198364258
AAPL,2020-12-31,0.07616666704416275,3,0.22850000113248825
BA,2020-08-21,0.7429999709129333,1,0.7429999709129333
BA,2020-01-07,-0.0034999996423721313,2,-0.006999999284744263
HD,2020-03-26,-0.38179999589920044,1,-0.38179999589920044
BA,2020-03-30,0.3319999985396862,2,0.6639999970793724
AAPL,2020-04-06,0.3612000048160553,1,0.3612000048160553
DIS,2020-07-10,0.42149999737739563,1,0.42149999737739563
V,2020-08-04,0.0,1,0.0
MSFT,2020-12-04,-0.005350000225007534,2,-0.010700000450015068
NVDA,2020-03-18,0.3181999921798706,1,0.3181999921798706
MSFT,2020-03-25,0.0,1,0.0
BABA,2020-01-23,0.0,1,0.0
BABA,2020-08-26,-0.02384999394416809,2,-0.04769998788833618
MSFT,2020-03-04,0.20229999721050262,1,0.20229999721050262
BA,2020-03-10,0.0,1,0.0
SBUX,2020-09-02,0.025800000876188278,1,0.025800000876188278
TSLA,2020-09-05,0.08663000166416168,10,0.8663000166416168
AAPL,2020-09-10,0.09406315809802006,19,1.7872000038623812
XOM,2020-11-07,0.5422999858856201,1,0.5422999858856201
TSLA,2020-12-11,0.16615881814676173,17,2.8246999084949493
PYPL,2020-12-18,0.0,1,0.0
JNJ,2020-12-31,0.0,1,0.0
NVDA,2020-02-10,0.7268999814987183,1,0.7268999814987183
MCD,2020-02-29,0.6123999953269958,1,0.6123999953269958
AAPL,2020-01-01,0.27320000529289246,1,0.27320000529289246
BABA,2020-03-04,0.0,1,0.0
FB,2020-08-21,0.0,1,0.0
AAPL,2020-10-05,-0.02681666985154152,6,-0.16090001910924911
BA,2020-10-08,0.4205666681130727,3,1.2617000043392181
PYPL,2020-10-22,0.3181999921798706,1,0.3181999921798706
PFE,2020-11-10,0.06395714197840009,7,0.44769999384880066
FB,2020-12-04,-0.17790000140666962,1,-0.17790000140666962
AAPL,2020-12-14,-0.12916666269302368,3,-0.38749998807907104
AMZN,2020-12-24,0.0,2,0.0
